agent_type,sample_type,single_1,single_2,single_3,single_4,suprl_1,suprl_2,suprl_3,suprl_4
DQN,first_200,24.716022162788665,28.750913748319594,93.41615577687867,107.27186525393968,29.665730702408478,24.690314043861775,14.04364349170065,37.34044048258021
DDQN,first_200,25.840086427722134,61.9399148994743,44.82634841808617,30.61505981426325,13.684014932066818,3.751639706083685,16.01176440169255,27.514270058280726
QR-DQN,first_200,51.12739818603119,59.650269471097985,20.23990769443266,30.348083745585562,42.072655552649145,49.116623910566474,19.554149289234672,24.549985903705657
DQN,random_200,10.760341614037511,21.976318707241248,15.878038775546395,37.79929105768908,43.12041099512932,11.098272883441195,18.16009710978013,10.637968535198185
DDQN,random_200,27.960559064483775,24.213185609872887,13.893772894997516,13.402058829071974,65.77926401438641,68.93746195244559,16.619793852985126,33.84368505654775
QR-DQN,random_200,16.996239124075785,26.97068543297145,15.203714178037542,16.365719787941316,28.873025800322498,4.170572017179735,15.995987679577008,27.55251129657199
