,agent_type,sample_type,single_0,single_1,single_2,single_3,single_4,suprl_0,suprl_1,suprl_2,suprl_3,suprl_4
0,DQN,first_200,-106.9387464688196,77.19445177532225,6.560466528522962,74.40142151058845,184.96468935244903,128.370351364592,147.1974713170779,187.42699211477432,197.0390183467411,219.65624425769303
1,DDQN,first_200,95.79227411170221,138.74985168588296,80.11917655763821,75.52509893777389,160.50525173525043,176.18498699582358,190.02754004164777,161.6788036636568,163.92212325071733,222.06475901557403
2,QR-DQN,first_200,95.79227411170221,138.74985168588296,80.11917655763821,75.52509893777389,160.50525173525043,219.92108122923682,189.4599568668059,250.34209244435868,253.77743646300257,245.2233710322651
3,DQN,random_200,79.30731250267657,122.37744957403166,170.38066351336184,169.0581193318369,127.97419895481579,182.83412897850656,185.02230741155944,200.93957384408463,203.51197731091167,204.9177210951849
4,DDQN,random_200,125.36441251059168,124.56001670715287,141.97750543852203,138.194382262655,154.10915361240896,148.2819224711093,159.2992728993831,229.5054576482752,196.02678911549958,173.39323227477448
5,QR-DQN,random_200,166.42513554075313,165.26794889609658,191.7865297534422,148.21509464168224,170.5656843582904,148.2819224711093,159.2992728993831,229.5054576482752,196.02678911549958,188.39323227477448
