agent_type,sample_type,single_1,single_2,single_3,single_4,suprl_1,suprl_2,suprl_3,suprl_4
DQN,first_200,10.574796015694941,122.78607458517713,124.75974587261612,47.23645653961262,26.2219643708405,162.74151829923844,191.85595576889028,175.9380154801757
DDQN,first_200,50.226451369677406,67.38162973336726,88.28408653889912,99.48589221660774,71.7697728044349,130.5881313759705,162.90333382121395,175.21288048044357
QR-DQN,first_200,90.1752613381336,127.58230054021219,170.11997059358873,188.03776556492627,125.76381567394455,157.69693394241563,199.91334749836318,223.61708069963646
DQN,random_200,0.43132277572462757,137.12928508289113,165.75626401216863,133.81954877534454,58.642858263680026,169.80174937389637,195.52817537072463,195.44514172804944
DDQN,random_200,4.664835714942521,47.19313075743558,104.96074962271648,132.18458258156923,30.767493195112348,89.34454172829736,149.70260489253494,175.3480407283849
QR-DQN,random_200,76.29256664585746,112.56720937861971,142.00456385703546,161.79347386925065,87.8749866349861,133.88037744663777,165.35280826582158,181.06253806644685
